MonitorId,QaConfigurationId,Parameter,Description,UOMId,SamplingDurationMinutes,SamplingFrequencySeconds,UDL,useUDL,LDL,useLDL,MDL,useMDL,PersistCount,usePCount,PersistThresh,useAdj,usePThresh,Anom1Thresh,useA1Check,Anom2Thresh,useA2Check,Anom3Thresh,useA3Check,Anom4Thresh,useA4Check,PersistWindowSize,Anom1WindowSize,Anom2WindowSize,Anom3WindowSize,Anom4WindowSize,Thresh1,Thresh2,Thresh3,Thresh4,WindowSize1,WindowSize2,WindowSize3,WindowSize4,PerformCheck1,PerformCheck2,PerformCheck3,PerformCheck4,PerformCheck5,PerformCheck6,PerformCheck7,StreamSegmentId
AZSS9B9D,149,42602,check1,8,15,20,3000,1,0,1,0,0,3,1,0.001,1,0,40,0,10,1,2,0,100,0,5,3,4,9,5,,,,,,,,,,,1,,,,,25821
AZSS9B9D,150,85101,check2,105,15,20,1000,1,0,1,0,0,3,1,0.001,0,0,40,0,10,1,2,0,100,0,5,3,4,9,5,,,,,,,,,,,1,,,,,25820
AZSS9B9D,154,88101,check3,105,15,20,500,1,0,1,0,0,3,1,0.001,1,0,40,0,10,1,2,0,100,0,5,3,4,9,5,,,,,,,,,,,1,,,,,25818
AZSS9B9D,158,43104,check4,8,15,20,60000,1,0,1,0,0,3,1,0.001,0,0,40,0,10,1,2,0,100,0,5,3,4,9,5,,,,,,,,,,,1,,,,,25822
AF8F1H03,159,42602,check1,8,15,20,3000,1,0,1,0,0,3,1,0.001,1,0,40,0,10,1,2,0,100,0,5,3,4,9,5,,,,,,,,,,,1,,,,,25691
AF8F1H03,160,85101,check2,105,15,20,1000,1,0,1,0,0,3,1,0.001,0,0,40,0,10,1,2,0,100,0,5,3,4,9,5,,,,,,,,,,,1,,,,,25690
AF8F1H03,164,88101,check3,105,15,20,500,1,0,1,0,0,3,1,0.001,1,0,40,0,10,1,2,0,100,0,5,3,4,9,5,,,,,,,,,,,1,,,,,25688
AF8F1H03,168,43104,check4,8,15,20,60000,1,0,1,0,0,3,1,0.001,0,0,40,0,10,1,2,0,100,0,5,3,4,9,5,,,,,,,,,,,1,,,,,25692
AVDZPV6L,169,42602,check1,8,15,20,3000,1,0,1,0,0,3,1,0.001,1,0,40,0,10,1,2,0,100,0,5,3,4,9,5,,,,,,,,,,,1,,,,,25891
AVDZPV6L,170,85101,check2,105,15,20,1000,1,0,1,0,0,3,1,0.001,0,0,40,0,10,1,2,0,100,0,5,3,4,9,5,,,,,,,,,,,1,,,,,25890
AVDZPV6L,174,88101,check3,105,15,20,500,1,0,1,0,0,3,1,0.001,1,0,40,0,10,1,2,0,100,0,5,3,4,9,5,,,,,,,,,,,1,,,,,25888
AVDZPV6L,178,43104,check4,8,15,20,60000,1,0,1,0,0,3,1,0.001,0,0,40,0,10,1,2,0,100,0,5,3,4,9,5,,,,,,,,,,,1,,,,,25892
AYR1L2NW,179,42602,check1,8,15,20,3000,1,0,1,0,0,3,1,0.001,1,0,40,0,10,1,2,0,100,0,5,3,4,9,5,,,,,,,,,,,1,,,,,25911
AYR1L2NW,180,85101,check2,105,15,20,1000,1,0,1,0,0,3,1,0.001,0,0,40,0,10,1,2,0,100,0,5,3,4,9,5,,,,,,,,,,,1,,,,,25910
AYR1L2NW,184,88101,check3,105,15,20,500,1,0,1,0,0,3,1,0.001,1,0,40,0,10,1,2,0,100,0,5,3,4,9,5,,,,,,,,,,,1,,,,,25908
AYR1L2NW,188,43104,check4,8,15,20,60000,1,0,1,0,0,3,1,0.001,0,0,40,0,10,1,2,0,100,0,5,3,4,9,5,,,,,,,,,,,1,,,,,25912
ASKTSJKK,189,42602,check1,8,15,20,3000,1,0,1,0,0,3,1,0.001,1,0,40,0,10,1,2,0,100,0,5,3,4,9,5,,,,,,,,,,,1,,,,,25781
ASKTSJKK,189,42602,check1,8,15,20,3000,1,0,1,0,0,3,1,0.001,1,0,40,0,10,1,2,0,100,0,5,3,4,9,5,,,,,,,,,,,1,,,,,25781
ASKTSJKK,189,42602,check1,8,15,20,3000,1,0,1,0,0,3,1,0.001,1,0,40,0,10,1,2,0,100,0,5,3,4,9,5,,,,,,,,,,,1,,,,,25941
ASKTSJKK,189,42602,check1,8,15,20,3000,1,0,1,0,0,3,1,0.001,1,0,40,0,10,1,2,0,100,0,5,3,4,9,5,,,,,,,,,,,1,,,,,25941
ASKTSJKK,190,85101,check2,105,15,20,1000,1,0,1,0,0,3,1,0.001,0,0,40,0,10,1,2,0,100,0,5,3,4,9,5,,,,,,,,,,,1,,,,,25780
ASKTSJKK,190,85101,check2,105,15,20,1000,1,0,1,0,0,3,1,0.001,0,0,40,0,10,1,2,0,100,0,5,3,4,9,5,,,,,,,,,,,1,,,,,25780
